col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,scores,anomaly
19.06,9.3,11.284,225.1,190.2,195.1,200.1,204.9,52.96,44.420853,49.779587,0.0759453188506331,no
19.04,9.28,10.940001,225.1,190.1,195.2,200.1,204.9,52.88,44.42917,49.730263,0.057287272093957176,no
19.04,9.28,10.940001,225.1,189.7,195.1,200.1,204.9,52.88,44.86061,49.84124,0.028197517822425022,no
19.04,9.26,11.0130005,225.1,190.2,195.1,200.1,204.9,52.92,44.912376,49.902897,0.052407868906771016,no
19.080000000000002,9.3,11.104,225.1,190.1,195.1,200.1,204.9,52.980000000000004,44.93437,49.779587,0.040465023417818824,no
19.02,9.34,11.041,225.0,190.2,195.0,200.0,204.9,52.88,36.21334,49.730263,-0.016622767256676996,yes
19.080000000000002,9.22,11.440001,224.9,190.2,195.0,199.8,205.2,52.96,39.753265,49.82891,-0.03255415929561256,yes
19.04,9.24,11.13,225.2,190.2,194.8,199.8,205.2,52.92,42.114983,49.65628,0.029551151934584075,no
19.02,9.24,11.055,225.0,190.2,194.8,199.9,205.2,52.94,43.394966,49.594624,0.0403129294472474,no
19.04,9.28,11.245001,225.2,190.4,194.8,199.8,205.2,52.94,43.442955,49.7056,0.017205344651229026,no
19.04,9.200000000000001,11.295,225.0,190.4,194.8,199.8,205.2,52.92,43.709335,49.594624,-0.014140440885380245,yes
19.02,9.3,11.068001,224.9,190.4,194.8,199.8,205.2,52.92,44.226627,49.606956,0.010180096704132668,no
19.04,9.24,11.207001,224.9,190.2,194.9,199.9,205.2,52.96,44.407997,49.619286,0.03382661134381082,no
19.04,9.26,11.1710005,225.2,190.2,194.9,199.9,205.2,52.88,44.438133,49.65628,0.033490812120342495,no
19.04,9.28,11.248,225.1,190.2,194.9,199.9,205.1,52.96,44.706078,49.7056,0.06868614582646693,no
19.02,9.36,11.117001,225.0,190.0,194.9,199.9,205.1,52.86,44.841824,49.619286,0.01801730945506108,no
19.080000000000002,9.22,11.416,225.0,189.9,194.9,199.9,205.1,52.9,36.750984,49.754925,-0.03504162468494676,yes
19.04,9.32,11.254001,224.9,189.9,195.2,200.2,205.1,52.9,40.287323,49.730263,0.050858124332487376,no
19.02,9.32,11.0390005,224.9,189.7,195.2,200.2,205.1,52.86,43.72284,49.643948,0.01639052217550141,no
19.04,9.32,11.166,225.2,189.7,195.2,200.2,205.0,52.94,44.558983,49.582294,-0.010656844613448402,yes
19.04,9.34,11.084001,225.0,189.7,195.2,200.2,205.0,52.88,44.37046,49.594624,0.013662130212740764,no
19.04,9.38,11.083,224.9,189.7,195.2,200.2,204.8,52.88,44.724407,49.619286,-0.01675959526075943,yes
19.080000000000002,9.26,11.342001,225.2,189.7,195.2,200.2,204.8,52.94,44.348507,49.81658,-0.02903855053447968,yes
19.0,9.3,10.966001,225.1,189.7,195.2,200.2,204.8,52.88,40.25688,49.63162,-0.025726024310818385,yes
19.06,9.28,11.356001,225.0,190.2,195.1,200.2,204.8,52.96,42.169228,49.81658,0.06029403895961405,no
19.06,9.22,11.31,225.2,190.1,195.1,200.1,204.8,52.94,43.44906,49.81658,0.02969830054492162,no
19.0,9.26,10.828,225.1,189.9,195.1,200.1,204.8,52.86,44.108467,49.66861,-0.020310557297720244,yes
19.04,9.26,10.994,225.0,190.2,195.0,200.1,204.8,52.92,44.289684,49.865902,0.094811748629682,no
19.06,9.22,11.163,224.9,190.2,195.0,200.1,204.8,52.94,44.450874,49.84124,0.05672251023285774,no
19.06,9.34,11.106001,225.2,190.2,195.0,200.0,204.9,52.92,44.75998,49.84124,0.03728483315196718,no
19.0,9.34,10.828,225.0,190.2,194.9,199.9,204.9,52.9,35.20073,49.754925,0.006902091472065441,no
19.04,9.32,11.187,224.9,190.2,194.8,199.8,204.9,52.9,41.659546,49.80425,0.04566951580331524,no
19.04,9.34,11.094001,225.2,190.0,194.8,199.8,204.9,52.88,43.57584,49.742596,0.023797232721157302,no
19.1,9.22,11.579,225.1,189.9,194.9,199.8,204.9,52.980000000000004,44.00158,49.853573,-0.025125147537951475,yes
19.04,9.3,11.174001,225.0,189.9,194.9,199.8,204.9,52.9,44.434643,49.717934,0.07021026086211812,no
19.0,9.200000000000001,11.026001,225.1,189.8,194.8,199.9,204.9,52.88,44.55057,49.65628,-0.008334080569066704,yes
19.06,9.36,11.268001,225.0,189.9,194.9,199.8,204.9,52.94,44.791126,49.779587,0.04767736084830532,no
19.080000000000002,9.28,11.371,225.1,189.9,194.9,199.9,205.2,52.92,35.637913,49.80425,0.023984529477990346,no
19.06,9.28,11.1710005,225.0,189.9,195.2,199.9,205.2,52.96,40.540314,49.754925,0.061531664285527476,no
19.04,9.3,11.195001,225.0,190.2,195.2,199.9,205.2,52.92,42.582664,49.730263,0.10355905445629054,no
19.06,9.200000000000001,11.217001,225.0,190.2,195.2,199.9,205.2,52.94,43.578396,49.65628,0.07264455290096894,no
19.04,9.28,11.143001,225.0,190.1,195.2,199.9,205.2,52.94,44.27683,49.754925,0.10607073711316611,no
19.04,9.34,11.042001,225.0,190.0,195.2,199.9,205.2,52.92,44.520054,49.65628,0.08300473012452608,no
19.06,9.28,11.240001,225.0,190.1,195.1,200.2,205.2,52.980000000000004,44.552364,49.63162,0.03582947167646383,no
19.06,9.28,11.240001,225.0,190.0,195.1,200.2,205.2,52.980000000000004,44.701653,49.582294,0.013354680694356635,no
19.02,9.34,10.903001,224.9,189.9,195.0,200.2,205.2,52.9,33.28987,49.53297,-0.026070385835341825,yes
19.02,9.24,11.069,225.2,189.9,194.8,200.2,205.2,52.9,40.94242,49.53297,0.002011691778369351,no
19.04,9.22,11.200001,225.1,189.9,194.8,200.2,205.2,52.92,43.255653,49.52064,0.018912919113168836,no
19.06,9.22,11.108001,225.1,189.6,194.8,200.2,205.2,52.9,43.79568,49.69327,0.01648872120793632,no
19.02,9.3,10.963,225.0,189.9,194.8,200.2,205.2,52.9,44.416542,49.65628,0.054799634446424994,no
19.080000000000002,9.3,11.464001,225.0,190.2,194.9,200.2,205.1,52.94,44.310265,49.7056,0.046633734256862125,no
