col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,scores,anomaly
18.46,9.200000000000001,11.216001,210.0,190.2,195.1,200.0,204.8,52.28,31.891212,40.025894,0.0,no
18.48,9.16,11.207001,210.2,190.2,195.1,199.9,204.8,52.300000000000004,31.938896,39.93958,0.0,no
18.46,9.200000000000001,11.043,210.0,190.0,195.0,199.8,204.8,52.26,31.71276,40.001232,0.0,no
18.44,9.18,11.051001,210.0,189.7,194.8,199.8,204.9,52.28,31.751785,39.976574,0.0,no
18.48,9.14,11.288,210.0,190.2,194.8,199.8,204.9,52.300000000000004,31.942348,39.96424,0.0,no
18.5,9.18,11.429001,210.0,190.2,194.8,199.8,204.9,52.32,31.915226,40.07522,0.0,no
18.48,9.16,11.377001,210.0,190.2,194.8,199.8,204.9,52.300000000000004,31.661205,40.08755,0.0,no
18.48,9.200000000000001,11.132001,210.0,190.2,194.8,199.8,204.9,52.300000000000004,31.25698,40.001232,0.0,no
18.46,9.200000000000001,11.155001,210.0,190.1,194.8,199.9,204.9,52.28,32.097168,39.96424,0.0,no
18.48,9.18,11.307,210.0,190.2,194.8,199.9,204.9,52.300000000000004,31.943207,40.001232,0.0,no
18.48,9.200000000000001,11.326,210.0,190.2,194.9,199.9,205.2,52.4,31.653118,39.93958,0.052266504433662986,no
18.48,9.200000000000001,11.305,210.1,190.1,194.9,199.9,205.2,52.36,30.476646,39.93958,0.002926468868970966,no
18.48,9.18,11.195001,210.0,190.1,194.9,199.9,205.2,52.32,31.863098,39.96424,0.08306866333809237,no
18.46,9.24,11.152,210.0,190.2,194.9,199.9,205.2,52.28,31.867523,39.890255,0.04563870349028143,no
18.48,9.22,11.224001,210.0,190.1,194.9,199.9,205.2,52.300000000000004,31.726532,39.93958,0.08261366571377543,no
18.5,9.22,11.27,210.0,190.0,195.2,200.2,205.2,52.4,31.92152,39.93958,-0.022440037105161625,yes
18.46,9.26,11.189,210.0,189.8,195.2,200.2,205.2,52.28,31.94336,39.877926,-0.005644712578453892,yes
18.48,9.200000000000001,11.290001,210.0,189.9,195.4,200.2,205.2,52.32,31.883812,39.877926,0.06001211699863451,no
18.48,9.24,11.292001,210.0,189.9,195.7,200.2,205.2,52.38,31.627579,39.80394,-0.020803826451670004,yes
18.5,9.16,11.235001,210.0,189.6,195.7,200.2,205.1,52.38,31.945534,39.93958,-0.043289187414382035,yes
18.46,9.200000000000001,11.1970005,210.0,189.7,195.7,200.2,205.1,52.36,31.763401,39.92725,0.015578849647291726,no
18.46,9.200000000000001,11.1970005,210.0,190.2,195.5,200.2,205.1,52.36,31.247787,39.951912,0.054514363426258705,no
18.48,9.18,11.262,210.0,190.2,195.3,200.2,205.1,52.4,31.836796,39.865593,0.03390021726388104,no
18.48,9.16,11.241,210.0,190.2,195.1,200.2,205.1,52.36,31.68188,39.890255,0.047695352511114175,no
18.48,9.18,11.267,210.0,190.0,195.0,200.2,205.1,52.32,30.480347,39.951912,0.03659299101228275,no
18.46,9.22,11.152,209.9,190.1,194.6,200.2,205.0,52.4,31.807613,39.96424,0.012462049538752518,no
18.48,9.18,11.337001,210.2,190.2,194.6,200.1,204.8,52.300000000000004,31.732025,39.976574,0.04602319368976271,no
18.48,9.14,11.299001,210.0,190.2,194.6,200.1,204.8,52.32,31.666756,39.902588,0.039286178255543536,no
18.5,9.22,11.417001,210.0,190.2,194.6,200.1,204.8,52.4,31.991196,40.038227,-0.020673076386868217,yes
18.48,9.16,11.194,210.0,190.2,194.7,200.1,204.8,52.300000000000004,31.919022,40.001232,0.07243993527581738,no
18.44,9.18,11.0720005,210.0,190.2,194.7,200.0,204.8,52.34,31.71194,39.902588,0.0220313968346727,no
18.5,9.18,11.365001,210.0,190.2,194.7,199.8,204.8,52.4,31.480846,40.025894,-0.01700791526646417,yes
18.48,9.22,11.324,210.0,190.2,194.9,199.8,204.9,52.38,31.937695,40.050556,0.022506429247421855,no
18.48,9.200000000000001,11.137,210.0,190.2,194.9,199.8,204.9,52.36,31.763401,39.93958,0.07237127772178831,no
18.44,9.28,11.087001,210.0,189.9,194.9,199.8,204.9,52.34,30.670815,39.92725,-0.03652711440702272,yes
18.48,9.22,11.302001,210.0,189.9,195.2,199.8,204.9,52.36,31.918812,39.902588,0.032634544535630305,no
18.48,9.22,11.181001,210.0,189.9,195.2,199.9,204.9,52.34,27.585354,39.890255,0.007590169225705323,no
18.46,9.200000000000001,11.195001,210.1,189.9,195.2,199.9,204.9,52.34,31.14788,39.951912,0.035872801107711405,no
18.48,9.26,11.251,210.0,190.2,195.4,199.9,204.9,52.38,31.834354,39.951912,0.04648906205468556,no
18.48,9.200000000000001,11.293,209.9,190.2,195.4,199.9,205.2,52.36,31.787777,39.976574,0.0643940490800824,no
18.48,9.26,11.121,210.2,190.2,195.3,199.9,205.2,52.32,31.5934,39.890255,0.007403053770389634,no
18.48,9.26,11.213,210.2,190.2,195.3,199.9,205.2,52.36,31.881428,39.877926,0.006685653719196827,no
18.48,9.18,11.303,210.0,190.2,195.3,199.9,205.2,52.38,31.919117,39.865593,0.03350905499899037,no
18.48,9.24,11.129001,210.0,190.1,195.3,200.2,205.2,52.4,31.818771,39.890255,0.0127052293920904,no
18.46,9.22,11.193001,210.0,190.2,195.1,200.2,205.2,52.36,31.921139,39.865593,0.0501124147302322,no
18.48,9.200000000000001,11.290001,210.0,190.2,195.1,200.2,205.2,52.36,31.97113,39.840935,0.05632030992125431,no
18.5,9.200000000000001,11.4140005,209.9,190.2,195.0,200.2,205.2,52.4,31.865692,39.96424,-0.010709722757442641,yes
18.48,9.18,11.174001,210.2,190.1,194.8,200.2,205.2,52.38,32.05864,39.902588,-0.0058255666785292926,yes
18.46,9.200000000000001,11.120001,210.0,189.9,194.8,200.2,205.2,52.32,31.94828,39.8286,0.04353168486305414,no
18.48,9.22,11.250001,210.0,190.2,194.8,200.2,205.2,52.34,31.597958,39.840935,0.06326662333196409,no
18.48,9.22,11.250001,209.9,190.2,194.6,200.2,205.1,52.34,30.483894,39.902588,0.02526226118154329,no
18.54,9.200000000000001,11.318001,210.2,190.2,194.7,200.1,205.1,52.38,31.887321,40.013565,-7.209497931137676e-05,yes
18.46,9.22,11.102,210.0,189.9,194.7,200.1,205.1,52.34,31.73502,39.890255,0.042802840578931356,no
18.46,9.200000000000001,11.145,209.9,190.2,194.7,200.0,205.1,52.32,31.406021,39.93958,0.06453243393637925,no
18.48,9.22,11.3,210.2,190.2,194.9,200.0,205.0,52.34,31.840553,39.988903,0.0662976504748497,no
18.48,9.200000000000001,11.150001,210.0,190.2,194.9,199.8,204.8,52.36,32.077847,39.988903,0.0531904564488187,no
18.48,9.200000000000001,11.3,210.0,190.0,194.9,199.8,204.8,52.4,31.76342,40.013565,0.016471785046163756,no
18.48,9.22,11.2300005,210.0,190.2,195.2,199.8,204.8,52.34,31.9421,39.988903,0.05542599888855643,no
18.48,9.24,11.343,209.9,190.2,195.2,199.8,204.8,52.32,31.929817,39.988903,0.01656691757159423,no
18.48,9.200000000000001,11.249001,210.2,190.0,195.2,199.9,204.8,52.32,31.737766,39.951912,0.07183803238896841,no
18.44,9.24,11.074,210.1,189.7,195.2,199.9,204.8,52.300000000000004,30.636139,39.890255,-0.0859469175465376,yes
18.48,9.24,11.2630005,210.0,189.9,195.2,199.9,204.9,52.34,31.841488,40.025894,0.0688235703535035,no
18.5,9.200000000000001,11.368001,210.0,189.9,195.2,199.9,204.9,52.36,31.792889,40.001232,0.03303990819217134,no
18.48,9.18,11.22,209.9,189.8,195.2,199.9,204.9,52.36,31.762924,39.988903,0.034602397007374885,no
18.46,9.24,11.115001,210.2,189.9,195.1,199.9,204.9,52.36,32.027817,39.914917,0.0002633907842920502,no
18.5,9.18,11.393001,210.1,190.2,195.1,200.2,204.9,52.38,31.934223,40.013565,0.020280811223325368,no
18.5,9.18,11.409,210.0,190.2,195.1,200.2,204.9,52.4,31.711388,39.951912,0.030778095612370326,no
18.52,9.200000000000001,11.325001,210.0,190.0,195.1,200.2,204.9,52.42,31.769772,40.001232,0.02105429772133549,no
18.44,9.24,10.996,210.0,190.2,195.0,200.2,205.0,52.32,31.949749,39.93958,0.02178599313093932,no
18.48,9.18,11.327001,210.0,190.2,195.0,200.2,205.2,52.36,31.766472,39.877926,0.10451431228889907,no
18.52,9.18,11.445001,209.9,190.2,195.0,200.2,205.2,52.38,31.893253,39.951912,0.007754812424356716,no
18.48,9.22,11.141001,210.2,190.1,195.1,200.2,205.2,52.38,31.917057,39.877926,0.04889314997612293,no
18.46,9.22,11.133,210.1,190.2,195.0,200.2,205.2,52.34,31.870327,39.865593,0.06513377478495169,no
