Tempo Injecao;Tempo Plastificacao;Tempo de Ciclo;Almofada;Pressao Maxima;Qualidade
2,71;5,22;25,2;16,41;75,9;OK
2,72;5,2;25,2;16,41;75,9;OK
2,72;5,22;25,2;16,44;75,8;OK
2,72;5,2;25,2;16,47;75,9;OK
2,72;5,22;25,2;16,46;76,1;OK
2,71;5,23;25,2;16,43;75,6;OK
2,73;5,18;25,2;16,49;76,3;OK
2,71;5,22;25,2;16,45;75,7;OK
2,72;5,18;25,2;16,46;76,3;OK
2,72;5,19;25,2;16,49;76;OK
2,71;5,2;25,2;16,44;76,1;OK
2,72;5,19;25,2;16,48;76,2;OK
2,71;5,2;25,2;16,47;75,9;OK
2,72;5,19;25,2;16,47;76;OK
2,72;5,19;25,2;16,49;76,2;OK
2,71;5,22;25,2;16,41;75,4;OK
2,73;5,16;25,2;16,46;76,6;OK
2,72;5,22;25,2;16,45;75,7;OK
2,72;5,19;25,2;16,47;76,1;OK
2,72;5,2;25,2;16,48;75,9;OK
2,7;5,19;25,2;16,47;75,7;OK
2,72;5,15;25,2;16,49;76,1;OK
2,71;5,17;25,1;16,46;75,8;OK
2,71;5,18;25,2;16,44;75,7;OK
2,72;5,15;25,1;16,44;76,3;OK
2,71;5,21;25,2;16,43;75,7;OK
2,72;5,17;25,2;16,5;76,3;OK
2,72;5,17;25,2;16,46;76,2;OK
2,71;5,2;25,2;16,44;75,9;OK
2,72;5,15;25,2;16,49;76,5;OK
2,72;5,2;25,2;16,44;75,8;OK
2,71;5,19;25,2;16,48;75,6;OK
2,73;5,19;25,2;16,45;76;OK
2,71;5,19;25,2;16,42;75,7;OK
2,72;5,2;25,2;16,45;75,6;OK
2,73;5,18;25,2;16,43;76,3;OK
2,7;5,24;25,2;16,4;75,2;OK
2,72;5,17;25,1;16,48;76,2;OK
2,71;5,25;25,3;16,45;75,3;OK
2,72;5,18;25,2;16,48;76,3;OK
2,71;5,23;25,2;16,43;75,6;OK
2,72;5,22;25,2;16,47;76,1;OK
2,71;5,25;50,2;16,39;75,3;OK
2,8;4,09;25;16,68;85,2;NOK (Filling)
2,78;4,32;25;16,57;82,8;NOK (Filling)
2,77;4,52;25;16,54;81,2;NOK (Filling)
2,8;4,11;24,9;16,56;85,71;NOK (Filling)
2,75;4,28;24,98;16,49;82,97;NOK (Filling)
2,77;4,53;25,1;16,61;81,61;NOK (Filling)
2,74;4,67;24,83;16,61;79,4;NOK (Filling)
2,76;4,67;25,25;16,68;80,09;NOK (Filling)
2,8;4,09;25;16,68;85,2;NOK (Filling)
2,78;4,32;25;16,57;82,8;NOK (Filling)
2,72;5,17;25,2;16,46;76,4;OK
2,72;5,2;25,2;16,43;75,9;OK
2,71;5,2;25,2;16,43;75,8;OK
2,72;5,2;25,2;16,47;75,6;OK
2,71;5,22;25,2;16,42;75,6;OK
2,72;5,19;25,2;16,46;76,2;OK
2,72;5,22;25,2;16,44;75,9;OK
2,71;5,23;25,2;16,41;75,5;OK
2,73;5,21;25,2;16,47;76,2;OK
2,72;5,22;25,2;16,43;75,5;OK
2,71;5,2;25,2;16,41;75,8;OK
2,72;5,17;25,2;16,47;76,3;OK
2,72;5,19;25,2;16,46;76,1;OK
2,71;5,21;25,2;16,47;75,5;OK
2,73;5,17;25,2;16,45;76,4;OK
2,72;5,18;25,2;16,44;75,9;OK
2,71;5,2;25,2;16,44;75,7;OK
2,72;5,17;25,2;16,42;76,2;OK
2,71;5,21;25,2;16,42;75,6;OK
2,72;5,19;25,2;16,47;75,7;OK
2,73;5,22;25,2;16,44;76,1;OK
2,71;5,23;25,2;16,41;75,4;OK
2,73;5,18;25,2;16,44;76,4;OK
2,7;5,22;25,2;16,46;75,4;OK
2,73;5,18;25,2;16,46;76,2;OK
2,72;5,2;25,2;16,48;76;OK
2,72;5,19;25,2;16,45;75,7;OK
2,73;5,17;25,2;16,49;76,2;OK
2,71;5,26;25,2;16,45;75,4;OK
2,73;5,14;25,1;16,44;76,3;OK
2,71;5,2;25,2;16,46;75,8;OK
2,72;5,15;25,1;16,47;76;OK
2,73;5,16;25,2;16,42;76,5;OK
2,71;5,21;25,2;16,44;75,5;OK
2,72;5,16;25,1;16,47;76,2;OK
2,72;5,19;25,2;16,48;75,7;OK
2,7;5,17;25,2;16,47;75,7;OK
2,72;5,16;25,1;16,47;76,1;OK
2,73;5,14;25,1;16,41;76,3;OK
2,72;5,16;25,2;16,46;75,8;OK
2,72;5,17;25,2;16,47;75,8;OK
2,73;5,13;25,2;16,49;76,5;OK
